epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,131.723,0.59511,0.47969,1.0145,0.56828,0.6139,0.61261,0.35773,1.66866,1.58907,1.88975,0.000494885,0.000494885,0.000494885
43,134.907,0.55465,0.44961,1.0055,0.62675,0.58556,0.61666,0.38015,1.5957,1.53786,1.88827,0.000486639,0.000486639,0.000486639
44,138.086,0.60066,0.48827,1.02425,0.62321,0.56103,0.64088,0.36459,1.5623,1.37818,1.83808,0.000478392,0.000478392,0.000478392
45,141.256,0.57833,0.45914,0.99505,0.57448,0.59071,0.59472,0.33792,1.59151,1.44821,1.90945,0.000470145,0.000470145,0.000470145
46,144.393,0.57606,0.47033,1.01856,0.61825,0.53379,0.57862,0.3048,1.68117,1.74207,1.96411,0.000461898,0.000461898,0.000461898
47,147.58,0.58877,0.47563,1.02051,0.94239,0.54446,0.61432,0.30148,1.66358,1.93906,1.91137,0.000453652,0.000453652,0.000453652
48,150.711,0.56601,0.43395,1.01936,0.61853,0.50557,0.57878,0.33966,1.67032,1.7157,1.91365,0.000445405,0.000445405,0.000445405
49,153.806,0.56845,0.46384,1.01746,0.68552,0.56833,0.59468,0.30784,1.76705,1.9018,1.98428,0.000437158,0.000437158,0.000437158
50,156.884,0.5556,0.46215,1.00745,0.73414,0.43417,0.47731,0.31777,1.70531,1.87384,2.02842,0.000428912,0.000428912,0.000428912
51,160.006,0.55024,0.44027,0.99668,0.70647,0.54036,0.48271,0.32476,1.62794,1.85495,1.9725,0.000420665,0.000420665,0.000420665
52,163.173,0.54584,0.44162,1.01,0.62462,0.447,0.43968,0.29276,1.6025,1.81184,1.94672,0.000412418,0.000412418,0.000412418
53,166.258,0.54078,0.44699,1.00689,0.63994,0.42706,0.42697,0.26529,1.71335,1.88341,1.97162,0.000404172,0.000404172,0.000404172
54,169.355,0.51989,0.43052,0.98965,0.6994,0.51929,0.52592,0.25157,1.77349,1.81905,2.00468,0.000395925,0.000395925,0.000395925
55,172.428,0.53094,0.4204,0.99176,0.63403,0.53078,0.4799,0.2609,1.68811,1.80015,1.95138,0.000387678,0.000387678,0.000387678
56,175.538,0.52146,0.4194,0.99198,0.77931,0.52796,0.53968,0.26169,1.80367,1.73177,2.11002,0.000379431,0.000379431,0.000379431
57,178.714,0.50869,0.41919,0.98152,0.79141,0.59477,0.56806,0.29453,1.68208,1.65444,2.0001,0.000371185,0.000371185,0.000371185
58,181.819,0.50995,0.41084,0.97872,0.83731,0.58439,0.57329,0.30445,1.63997,1.67961,1.96335,0.000362938,0.000362938,0.000362938
59,184.969,0.51689,0.42201,0.9995,0.86284,0.55513,0.61257,0.32146,1.62585,1.69734,1.95373,0.000354691,0.000354691,0.000354691
60,188.127,0.50052,0.4012,0.99166,0.61704,0.53582,0.61717,0.31728,1.64519,1.74859,1.95405,0.000346445,0.000346445,0.000346445
61,191.285,0.47098,0.38474,0.96943,0.51039,0.62244,0.63113,0.32419,1.62373,1.74998,1.91981,0.000338198,0.000338198,0.000338198
62,194.437,0.48473,0.39535,0.96734,0.89533,0.46262,0.63142,0.34919,1.5999,1.92158,1.83704,0.000329951,0.000329951,0.000329951
63,197.604,0.49175,0.38881,0.97965,0.89007,0.50937,0.61897,0.37764,1.56899,1.92503,1.77079,0.000321705,0.000321705,0.000321705
64,200.769,0.46617,0.37991,0.97432,0.61521,0.55568,0.60446,0.35862,1.60807,1.92988,1.82678,0.000313458,0.000313458,0.000313458
65,203.997,0.47615,0.37905,0.96573,0.50923,0.50331,0.59392,0.32449,1.58992,1.94574,1.823,0.000305211,0.000305211,0.000305211
